nombre,cargo,company,enlace,imagen
Luis Álvarez,Pendiente,Pendiente,Pendiente,Luis Álvarez.jpg
Laura Bellver,Pendiente,Pendiente,Pendiente,Laura Bellver.jpg
Yokasta Brunner,Pendiente,Pendiente,https://twitter.com/YokastaBrunner,Yokasta Brunner.jpg
Jarwin Cantos,Pendiente,Pendiente,Pendiente,Jarwin Cantos.jpg
Flor Collado,Pendiente,Pendiente,https://twitter.com/rolfys,Flor Collado.jpg
Noa de la Torre,Pendiente,Pendiente,https://twitter.com/ndelatower,Noa de la Torre.jpg
José Antonio Glez. Alba,Pendiente,Pendiente,https://twitter.com/jagonzalezalba,José Antonio Glez. Alba.jpg
José Ramón Narejos,Pendiente,Pendiente,https://twitter.com/Auditurus,José Ramón Narejos.jpg
Cristina Ortega,Pendiente,Pendiente,https://twitter.com/cristinight,Cristina Ortega.jpg
Mireia Pascual,Pendiente,Pendiente,https://twitter.com/mireia_pascual,Mireia Pascual.jpg
Daniel Pinero,Pendiente,Pendiente,https://twitter.com/daniel_pinelo,Daniel Pinero.jpg
Fanny Suárez,Pendiente,Pendiente,Pendiente,Fanny Suárez.jpg
Pedro Zapater,Pendiente,Pendiente,https://twitter.com/Pedro_Zapater,Pedro Zapater.jpg
Lis Gaibar,Pendiente,Pendiente,https://twitter.com/LisGaibar,Lis Gaibar.jpg
Alba Ortega,Pendiente,Pendiente,https://twitter.com/albagortega,Alba Ortega.jpg
AInhoa Guilló,Pendiente,Pendiente,https://twitter.com/Ainhooooooa,AInhoa Guilló.jpg
Inma Lara,Pendiente,Pendiente,https://twitter.com/INMALARA,Inma Lara.jpg
Cristian R. Marín,Pendiente,Pendiente,https://twitter.com/Crms74,Cristian R. Marín.jpg
Gemma Martínez,Pendiente,Pendiente,https://twitter.com/GeDolz,Gemma Martínez.jpg
María Martínez,Pendiente,Pendiente,Pendiente,María Martínez.jpg
José Pedro Martínez,Pendiente,Pendiente,https://twitter.com/JosepBalam,José Pedro Martínez.jpg
Susana Moreno,Pendiente,Pendiente,Pendiente,Susana Moreno.jpg
Laura Peñarrubia,Pendiente,Pendiente,https://twitter.com/ElePeGe,Laura Peñarrubia.jpg
Luis Pérez,Pendiente,Pendiente,Pendiente,Luis Pérez.jpg
Roberto Prada,Pendiente,Pendiente,https://twitter.com/PradaRoberto,Roberto Prada.jpg
Gema Rubio,Pendiente,Pendiente,https://twitter.com/gemarubionav,Gema Rubio.jpg
Maite Trobo,Pendiente,Pendiente,Pendiente,Maite Trobo.jpg
Chema Valero,Pendiente,Pendiente,https://twitter.com/josvap,Chema Valero.jpg
